"","Domain.Code","Domain","Area.Code..M49.","Area","Element.Code","Element","Item.Code..CPC.","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description","Note"
"1","QCL","Crops and livestock products",12,"Algeria",5510,"Production",114,"Sorghum",2023,2023,"t",940.5,"E","Estimated value",""
"2","QCL","Crops and livestock products",24,"Angola",5510,"Production",118,"Millet",2023,2023,"t",30000,"X","Figure from international organizations","Unofficial figure"
"3","QCL","Crops and livestock products",24,"Angola",5510,"Production",114,"Sorghum",2023,2023,"t",30000,"X","Figure from international organizations","Unofficial figure"
"4","QCL","Crops and livestock products",204,"Benin",5510,"Production",118,"Millet",2023,2023,"t",34229.06,"A","Official figure",""
"5","QCL","Crops and livestock products",204,"Benin",5510,"Production",114,"Sorghum",2023,2023,"t",150464.9,"A","Official figure",""
"6","QCL","Crops and livestock products",72,"Botswana",5510,"Production",118,"Millet",2023,2023,"t",965.48,"A","Official figure",""
"7","QCL","Crops and livestock products",72,"Botswana",5510,"Production",114,"Sorghum",2023,2023,"t",35851.61,"A","Official figure",""
"8","QCL","Crops and livestock products",854,"Burkina Faso",5510,"Production",118,"Millet",2023,2023,"t",861038.55,"A","Official figure",""
"9","QCL","Crops and livestock products",854,"Burkina Faso",5510,"Production",114,"Sorghum",2023,2023,"t",1772021.68,"A","Official figure",""
"10","QCL","Crops and livestock products",108,"Burundi",5510,"Production",118,"Millet",2023,2023,"t",11000,"X","Figure from international organizations","Unofficial figure"
"11","QCL","Crops and livestock products",108,"Burundi",5510,"Production",114,"Sorghum",2023,2023,"t",41676.67,"I","Imputed value",""
"12","QCL","Crops and livestock products",120,"Cameroon",5510,"Production",118,"Millet",2023,2023,"t",1e+05,"X","Figure from international organizations","Unofficial figure"
"13","QCL","Crops and livestock products",120,"Cameroon",5510,"Production",114,"Sorghum",2023,2023,"t",1200000,"X","Figure from international organizations","Unofficial figure"
"14","QCL","Crops and livestock products",140,"Central African Republic",5510,"Production",118,"Millet",2023,2023,"t",10000,"X","Figure from international organizations","Unofficial figure"
"15","QCL","Crops and livestock products",140,"Central African Republic",5510,"Production",114,"Sorghum",2023,2023,"t",18450.56,"A","Official figure",""
"16","QCL","Crops and livestock products",148,"Chad",5510,"Production",118,"Millet",2023,2023,"t",634079,"A","Official figure",""
"17","QCL","Crops and livestock products",148,"Chad",5510,"Production",114,"Sorghum",2023,2023,"t",877520,"A","Official figure",""
"18","QCL","Crops and livestock products",178,"Congo",5510,"Production",118,"Millet",2023,2023,"t",13816.37,"E","Estimated value",""
"19","QCL","Crops and livestock products",384,"Côte d'Ivoire",5510,"Production",118,"Millet",2023,2023,"t",62000,"X","Figure from international organizations","Unofficial figure"
"20","QCL","Crops and livestock products",384,"Côte d'Ivoire",5510,"Production",114,"Sorghum",2023,2023,"t",74000,"X","Figure from international organizations","Unofficial figure"
"21","QCL","Crops and livestock products",180,"Democratic Republic of the Congo",5510,"Production",118,"Millet",2023,2023,"t",40643,"A","Official figure",""
"22","QCL","Crops and livestock products",180,"Democratic Republic of the Congo",5510,"Production",114,"Sorghum",2023,2023,"t",8921,"A","Official figure",""
"23","QCL","Crops and livestock products",818,"Egypt",5510,"Production",114,"Sorghum",2023,2023,"t",780000,"X","Figure from international organizations","Unofficial figure"
"24","QCL","Crops and livestock products",232,"Eritrea",5510,"Production",118,"Millet",2023,2023,"t",25000,"X","Figure from international organizations","Unofficial figure"
"25","QCL","Crops and livestock products",232,"Eritrea",5510,"Production",114,"Sorghum",2023,2023,"t",140000,"X","Figure from international organizations","Unofficial figure"
"26","QCL","Crops and livestock products",748,"Eswatini",5510,"Production",114,"Sorghum",2023,2023,"t",265.22,"I","Imputed value",""
"27","QCL","Crops and livestock products",231,"Ethiopia",5510,"Production",118,"Millet",2023,2023,"t",1100000,"X","Figure from international organizations","Unofficial figure"
"28","QCL","Crops and livestock products",231,"Ethiopia",5510,"Production",114,"Sorghum",2023,2023,"t",4010000,"X","Figure from international organizations","Unofficial figure"
"29","QCL","Crops and livestock products",270,"Gambia",5510,"Production",118,"Millet",2023,2023,"t",42000,"X","Figure from international organizations","Unofficial figure"
"30","QCL","Crops and livestock products",270,"Gambia",5510,"Production",114,"Sorghum",2023,2023,"t",5000,"X","Figure from international organizations","Unofficial figure"
"31","QCL","Crops and livestock products",288,"Ghana",5510,"Production",118,"Millet",2023,2023,"t",244000,"X","Figure from international organizations","Unofficial figure"
"32","QCL","Crops and livestock products",288,"Ghana",5510,"Production",114,"Sorghum",2023,2023,"t",439000,"X","Figure from international organizations","Unofficial figure"
"33","QCL","Crops and livestock products",324,"Guinea",5510,"Production",118,"Millet",2023,2023,"t",220000,"X","Figure from international organizations","Unofficial figure"
"34","QCL","Crops and livestock products",324,"Guinea",5510,"Production",114,"Sorghum",2023,2023,"t",65000,"X","Figure from international organizations","Unofficial figure"
"35","QCL","Crops and livestock products",624,"Guinea-Bissau",5510,"Production",118,"Millet",2023,2023,"t",27000,"X","Figure from international organizations","Unofficial figure"
"36","QCL","Crops and livestock products",624,"Guinea-Bissau",5510,"Production",114,"Sorghum",2023,2023,"t",23000,"X","Figure from international organizations","Unofficial figure"
